interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,as_type,mcpc
2025-12-15T00:35:00-06:00,2025-12-15 06:35:00+00:00,2025-12-15T00:40:00-06:00,2025-12-15 06:40:00+00:00,NSPIN,6.97
2025-12-15T00:35:00-06:00,2025-12-15 06:35:00+00:00,2025-12-15T00:40:00-06:00,2025-12-15 06:40:00+00:00,REGDN,0
2025-12-15T00:35:00-06:00,2025-12-15 06:35:00+00:00,2025-12-15T00:40:00-06:00,2025-12-15 06:40:00+00:00,REGUP,2.17
2025-12-15T00:35:00-06:00,2025-12-15 06:35:00+00:00,2025-12-15T00:40:00-06:00,2025-12-15 06:40:00+00:00,RRS,0.87
2025-12-15T00:40:00-06:00,2025-12-15 06:40:00+00:00,2025-12-15T00:45:00-06:00,2025-12-15 06:45:00+00:00,ECRS,1.77
2025-12-15T00:40:00-06:00,2025-12-15 06:40:00+00:00,2025-12-15T00:45:00-06:00,2025-12-15 06:45:00+00:00,NSPIN,7.09
2025-12-15T00:40:00-06:00,2025-12-15 06:40:00+00:00,2025-12-15T00:45:00-06:00,2025-12-15 06:45:00+00:00,REGDN,0.15
2025-12-15T00:40:00-06:00,2025-12-15 06:40:00+00:00,2025-12-15T00:45:00-06:00,2025-12-15 06:45:00+00:00,REGUP,2.09
2025-12-15T00:40:00-06:00,2025-12-15 06:40:00+00:00,2025-12-15T00:45:00-06:00,2025-12-15 06:45:00+00:00,RRS,0.89
2025-12-15T00:45:00-06:00,2025-12-15 06:45:00+00:00,2025-12-15T00:50:00-06:00,2025-12-15 06:50:00+00:00,ECRS,1.73
2025-12-15T00:45:00-06:00,2025-12-15 06:45:00+00:00,2025-12-15T00:50:00-06:00,2025-12-15 06:50:00+00:00,NSPIN,6.92
2025-12-15T00:45:00-06:00,2025-12-15 06:45:00+00:00,2025-12-15T00:50:00-06:00,2025-12-15 06:50:00+00:00,REGDN,0.15
2025-12-15T00:45:00-06:00,2025-12-15 06:45:00+00:00,2025-12-15T00:50:00-06:00,2025-12-15 06:50:00+00:00,REGUP,1.87
2025-12-15T00:45:00-06:00,2025-12-15 06:45:00+00:00,2025-12-15T00:50:00-06:00,2025-12-15 06:50:00+00:00,RRS,0.87
2025-12-15T00:50:00-06:00,2025-12-15 06:50:00+00:00,2025-12-15T00:55:00-06:00,2025-12-15 06:55:00+00:00,ECRS,1.71
2025-12-15T00:50:00-06:00,2025-12-15 06:50:00+00:00,2025-12-15T00:55:00-06:00,2025-12-15 06:55:00+00:00,NSPIN,6.83
2025-12-15T00:50:00-06:00,2025-12-15 06:50:00+00:00,2025-12-15T00:55:00-06:00,2025-12-15 06:55:00+00:00,REGDN,0
2025-12-15T00:50:00-06:00,2025-12-15 06:50:00+00:00,2025-12-15T00:55:00-06:00,2025-12-15 06:55:00+00:00,REGUP,2.15
2025-12-15T00:50:00-06:00,2025-12-15 06:50:00+00:00,2025-12-15T00:55:00-06:00,2025-12-15 06:55:00+00:00,RRS,0.85
2025-12-15T00:55:00-06:00,2025-12-15 06:55:00+00:00,2025-12-15T01:00:00-06:00,2025-12-15 07:00:00+00:00,ECRS,1.73
2025-12-15T00:55:00-06:00,2025-12-15 06:55:00+00:00,2025-12-15T01:00:00-06:00,2025-12-15 07:00:00+00:00,NSPIN,6.92
2025-12-15T00:55:00-06:00,2025-12-15 06:55:00+00:00,2025-12-15T01:00:00-06:00,2025-12-15 07:00:00+00:00,REGDN,0
2025-12-15T00:55:00-06:00,2025-12-15 06:55:00+00:00,2025-12-15T01:00:00-06:00,2025-12-15 07:00:00+00:00,REGUP,2.47
2025-12-15T00:55:00-06:00,2025-12-15 06:55:00+00:00,2025-12-15T01:00:00-06:00,2025-12-15 07:00:00+00:00,RRS,0.87
2025-12-15T01:00:00-06:00,2025-12-15 07:00:00+00:00,2025-12-15T01:05:00-06:00,2025-12-15 07:05:00+00:00,ECRS,2.26
2025-12-15T01:00:00-06:00,2025-12-15 07:00:00+00:00,2025-12-15T01:05:00-06:00,2025-12-15 07:05:00+00:00,NSPIN,9.02
2025-12-15T01:00:00-06:00,2025-12-15 07:00:00+00:00,2025-12-15T01:05:00-06:00,2025-12-15 07:05:00+00:00,REGDN,0.7
2025-12-15T01:00:00-06:00,2025-12-15 07:00:00+00:00,2025-12-15T01:05:00-06:00,2025-12-15 07:05:00+00:00,REGUP,2.53
2025-12-15T01:00:00-06:00,2025-12-15 07:00:00+00:00,2025-12-15T01:05:00-06:00,2025-12-15 07:05:00+00:00,RRS,1.13
2025-12-15T01:05:00-06:00,2025-12-15 07:05:00+00:00,2025-12-15T01:10:00-06:00,2025-12-15 07:10:00+00:00,ECRS,2.08
2025-12-15T01:05:00-06:00,2025-12-15 07:05:00+00:00,2025-12-15T01:10:00-06:00,2025-12-15 07:10:00+00:00,NSPIN,8.32
2025-12-15T01:05:00-06:00,2025-12-15 07:05:00+00:00,2025-12-15T01:10:00-06:00,2025-12-15 07:10:00+00:00,REGDN,0
2025-12-15T01:05:00-06:00,2025-12-15 07:05:00+00:00,2025-12-15T01:10:00-06:00,2025-12-15 07:10:00+00:00,REGUP,2.57
2025-12-15T01:05:00-06:00,2025-12-15 07:05:00+00:00,2025-12-15T01:10:00-06:00,2025-12-15 07:10:00+00:00,RRS,1.04
